domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636401564,False,_gat_gtag_UA_80909769_7,/,False,1
nairobi24.co.ke,1670356612,False,_wsm_id_1_a7d6,/,False,0323be9cd5d63343.1636401412.1.1636401505.1636401412
.nairobi24.co.ke,1670097417,False,__gads,/,False,ID=08fc508c3ebe700a-228c3f2734cc00ff:T=1636401417:RT=1636401417:S=ALNI_MbpemgmLv1CZd-PoGkT0q-hh4Srag
.nairobi24.co.ke,1636487904,False,_gid,/,False,GA1.3.1269605050.1636401415
.nairobi24.co.ke,1699473504,False,_ga,/,False,GA1.3.1399809635.1636401415
nairobi24.co.ke,1636403304,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652169411,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636401412%2C%22https%3A%2F%2Ft.co%2F%22%5D
