domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670353199,False,_wsm_id_1_a7d6,/,False,b5137029d16aeee9.1636397999.1.1636398089.1636397999
.nairobi24.co.ke,1670094002,False,__gads,/,False,ID=5f28ba69f9136bda-2252ef1834cc0057:T=1636398002:RT=1636398002:S=ALNI_MZ8zk7wMj9NZ2GVfNdOeNFT90fjog
.nairobi24.co.ke,1636484399,False,_gid,/,False,GA1.3.620604992.1636398000
.nairobi24.co.ke,1699469999,False,_ga,/,False,GA1.3.1680350766.1636398000
nairobi24.co.ke,1636399889,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652165999,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636397999%2C%22https%3A%2F%2Ft.co%2F%22%5D
