domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636402414,False,_gat_gtag_UA_80909769_7,/,False,1
.nairobi24.co.ke,1670098361,False,__gads,/,False,ID=e372ad3531be4389-22c2db6d20cc0089:T=1636402361:RT=1636402361:S=ALNI_Mb-1E3EEVuHCiBgFANe4_2Rsf5_nQ
.nairobi24.co.ke,1636488754,False,_gid,/,False,GA1.3.995415474.1636402355
nairobi24.co.ke,1670357550,False,_wsm_id_1_a7d6,/,False,fe6b09a914214205.1636402350.1.1636402350.1636402350
.nairobi24.co.ke,1699474354,False,_ga,/,False,GA1.3.1111049827.1636402355
nairobi24.co.ke,1636404150,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652170350,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636402350%2C%22https%3A%2F%2Ft.co%2F%22%5D
