domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670361495,False,_wsm_id_1_a7d6,/,False,27bea34452f5bee5.1636406295.1.1636406400.1636406295
.nairobi24.co.ke,1670102298,False,__gads,/,False,ID=a8369fe4b9050210-22e3d3c95ecc0057:T=1636406298:RT=1636406298:S=ALNI_MbSAhZu92P-PtwHv-CIX0Rj9KBd6g
.nairobi24.co.ke,1636492696,False,_gid,/,False,GA1.3.1383937619.1636406297
.nairobi24.co.ke,1699478296,False,_ga,/,False,GA1.3.1267369136.1636406295
nairobi24.co.ke,1636408200,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652174295,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636406295%2C%22https%3A%2F%2Ft.co%2F%22%5D
