domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670355028,False,_wsm_id_1_a7d6,/,False,7784009361068957.1636399828.1.1636399896.1636399828
.nairobi24.co.ke,1670095830,False,__gads,/,False,ID=48b7bda956b1fbe8-2239fe9a36cc00d0:T=1636399830:RT=1636399830:S=ALNI_MaVT6kja-zmhyrk6DyasqEjhUG9Mw
.nairobi24.co.ke,1636486228,False,_gid,/,False,GA1.3.22436654.1636399829
.nairobi24.co.ke,1699471828,False,_ga,/,False,GA1.3.154416714.1636399829
nairobi24.co.ke,1636401696,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652167828,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636399828%2C%22https%3A%2F%2Ft.co%2F%22%5D
