domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670354193,False,_wsm_id_1_a7d6,/,False,9554248c37a554b3.1636398993.1.1636399073.1636398993
.nairobi24.co.ke,1670095001,False,__gads,/,False,ID=42300b007492ea37-22ef783368cc0075:T=1636399001:RT=1636399001:S=ALNI_MY-uNf6lnyHB1k8gtS89-t1x5H7WQ
.nairobi24.co.ke,1636485399,False,_gid,/,False,GA1.3.737964248.1636399000
.nairobi24.co.ke,1699470999,False,_ga,/,False,GA1.3.1744373941.1636398998
nairobi24.co.ke,1636400872,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652166993,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636398993%2C%22https%3A%2F%2Ft.co%2F%22%5D
