domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670360380,False,_wsm_id_1_a7d6,/,False,5fc83d54d765e960.1636405180.1.1636405268.1636405180
.nairobi24.co.ke,1670101185,False,__gads,/,False,ID=91fd349ddb11eefa-227cc6f067cc0082:T=1636405185:RT=1636405185:S=ALNI_MZ9q7MUnGXAhyrHDqjBGA6XFwaFMg
.nairobi24.co.ke,1636491583,False,_gid,/,False,GA1.3.513702685.1636405184
.nairobi24.co.ke,1699477183,False,_ga,/,False,GA1.3.1293097522.1636405184
nairobi24.co.ke,1636407067,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652173180,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636405180%2C%22https%3A%2F%2Ft.co%2F%22%5D
