domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670423182,False,_wsm_id_1_a7d6,/,False,5d18f97380856525.1636467982.1.1636468098.1636467982
.nairobi24.co.ke,1670164023,False,__gads,/,False,ID=a82a466aed03670a-22eb6dc167cc0056:T=1636468023:RT=1636468023:S=ALNI_MZifiHeHDJ8lvOPqLrsmXtE6fotIw
.nairobi24.co.ke,1636554421,False,_gid,/,False,GA1.3.2079978075.1636468021
.nairobi24.co.ke,1699540021,False,_ga,/,False,GA1.3.431708748.1636468021
nairobi24.co.ke,1636469897,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652235982,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636467982%2C%22https%3A%2F%2Ft.co%2F%22%5D
