domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670423410,False,_wsm_id_1_a7d6,/,False,9dbac28521962215.1636468210.1.1636468270.1636468210
.nairobi24.co.ke,1670164249,False,__gads,/,False,ID=86da5416972c0bc6-223288d569cc005a:T=1636468249:RT=1636468249:S=ALNI_MbgkOWcH3zhL31bzM4ZEV9pjZVhAQ
.nairobi24.co.ke,1636554609,False,_gid,/,False,GA1.3.72759516.1636468210
.nairobi24.co.ke,1699540209,False,_ga,/,False,GA1.3.1221357485.1636468210
nairobi24.co.ke,1636470069,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652236209,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636468210%2C%22https%3A%2F%2Ft.co%2F%22%5D
