domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670422783,False,_wsm_id_1_a7d6,/,False,3a82261ba63c39b0.1636467583.1.1636467694.1636467583
.nairobi24.co.ke,1670163585,False,__gads,/,False,ID=844d29ffdeb09bb9-2227051968cc0099:T=1636467585:RT=1636467585:S=ALNI_Ma-QabfOzEm4XA2x9jAAlPx_uhpcQ
.nairobi24.co.ke,1636553983,False,_gid,/,False,GA1.3.586246923.1636467584
.nairobi24.co.ke,1699539583,False,_ga,/,False,GA1.3.1556503133.1636467584
nairobi24.co.ke,1636469494,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652235583,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636467583%2C%22https%3A%2F%2Ft.co%2F%22%5D
