domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636402817,False,_gat_gtag_UA_80909769_7,/,False,1
.nairobi24.co.ke,1670098761,False,__gads,/,False,ID=466d9c6f6ed46d35-22967b5436cc000d:T=1636402761:RT=1636402761:S=ALNI_MaagWmbQBaMyrFGMkwAIHO0XpBWSw
.nairobi24.co.ke,1636489157,False,_gid,/,False,GA1.3.1836316913.1636402758
nairobi24.co.ke,1670357952,False,_wsm_id_1_a7d6,/,False,939eaac41fa47572.1636402752.1.1636402757.1636402752
.nairobi24.co.ke,1699474757,False,_ga,/,False,GA1.3.104528016.1636402758
nairobi24.co.ke,1636404556,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652170751,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636402752%2C%22https%3A%2F%2Ft.co%2F%22%5D
