domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670422332,False,_wsm_id_1_a7d6,/,False,b43ba9bfbc2d5e42.1636467132.1.1636467178.1636467132
.nairobi24.co.ke,1636467192,False,_gat_gtag_UA_80909769_7,/,False,1
.nairobi24.co.ke,1670163136,False,__gads,/,False,ID=013cb6c09d34e56a-22ab75835acc00e0:T=1636467136:RT=1636467136:S=ALNI_Mb9W6AUr8tAXPhbJeLs0OqP525hQA
.nairobi24.co.ke,1636553563,False,_gid,/,False,GA1.3.698065998.1636467132
.nairobi24.co.ke,1699539163,False,_ga,/,False,GA1.3.337282039.1636467132
nairobi24.co.ke,1636468977,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652235132,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636467132%2C%22https%3A%2F%2Ft.co%2F%22%5D
