domain,expiry,httpOnly,name,path,secure,value
.nairobi24.co.ke,1636399228,False,_gat_gtag_UA_80909769_7,/,False,1
.nairobi24.co.ke,1670095171,False,__gads,/,False,ID=4b38d1160fb399f9-2272fb3362cc0081:T=1636399171:RT=1636399171:S=ALNI_MY49UYK0vltyY300qzHra3D2m_Uiw
.nairobi24.co.ke,1636485568,False,_gid,/,False,GA1.3.1573423514.1636399168
nairobi24.co.ke,1670354365,False,_wsm_id_1_a7d6,/,False,479fcd2d492e1334.1636399165.1.1636399168.1636399165
.nairobi24.co.ke,1699471168,False,_ga,/,False,GA1.3.1988866946.1636399168
nairobi24.co.ke,1636400967,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652167165,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636399165%2C%22https%3A%2F%2Ft.co%2F%22%5D
