domain,expiry,httpOnly,name,path,secure,value
nairobi24.co.ke,1670332009,False,_wsm_id_1_a7d6,/,False,cc7ef0905c11b4b4.1636376809.1.1636376830.1636376809
.nairobi24.co.ke,1636376880,False,_gat_gtag_UA_80909769_7,/,False,1
.nairobi24.co.ke,1670072820,False,__gads,/,False,ID=00bab27f2659db84-222bcdc169cc00a3:T=1636376820:RT=1636376820:S=ALNI_MbeRWYhsfyCLjtQOb7T3GLS8IJZKA
.nairobi24.co.ke,1636463220,False,_gid,/,False,GA1.3.208964302.1636376821
.nairobi24.co.ke,1699448820,False,_ga,/,False,GA1.3.1756099621.1636376818
nairobi24.co.ke,1636378629,False,_wsm_ses_1_a7d6,/,False,*
nairobi24.co.ke,1652144808,False,_wsm_ref_1_a7d6,/,False,%5B%22%22%2C%22%22%2C1636376809%2C%22https%3A%2F%2Ft.co%2F%22%5D
